v1	I(V1)	I(V1)*v1
Step Information: Sun=200m Sun2=400m Sun3=600m  (Run: 1/60)
1.839999999999999e+001	4.888888e+000	8.995555e+001
1.849999999999999e+001	4.873874e+000	9.016666e+001
1.859999999999999e+001	4.857769e+000	9.035449e+001
1.870000000000000e+001	4.840495e+000	9.051726e+001
1.880000000000000e+001	4.821971e+000	9.065306e+001
1.890000000000000e+001	4.802108e+000	9.075984e+001
1.900000000000000e+001	4.780811e+000	9.083541e+001
1.910000000000000e+001	4.757980e+000	9.087742e+001
1.920000000000000e+001	4.733509e+000	9.088336e+001
1.930000000000000e+001	4.707282e+000	9.085053e+001
1.940000000000001e+001	4.679179e+000	9.077608e+001
1.950000000000001e+001	4.649073e+000	9.065692e+001
1.960000000000001e+001	4.616826e+000	9.048978e+001
1.970000000000001e+001	4.582294e+000	9.027120e+001
1.980000000000001e+001	4.545326e+000	8.999745e+001
1.990000000000001e+001	4.505759e+000	8.966461e+001
2.000000000000001e+001	4.463426e+000	8.926851e+001
2.010000000000002e+001	4.418147e+000	8.880476e+001
2.020000000000002e+001	4.369737e+000	8.826869e+001
2.030000000000002e+001	4.318002e+000	8.765545e+001
2.040000000000002e+001	4.262742e+000	8.695993e+001
2.050000000000002e+001	4.203748e+000	8.617684e+001
2.060000000000002e+001	4.140812e+000	8.530073e+001
2.070000000000002e+001	4.073722e+000	8.432604e+001
2.080000000000003e+001	4.002270e+000	8.324721e+001
2.090000000000003e+001	3.926260e+000	8.205882e+001
2.100000000000003e+001	3.845517e+000	8.075585e+001
2.110000000000003e+001	3.759909e+000	7.933409e+001
2.120000000000003e+001	3.669380e+000	7.779087e+001
2.130000000000003e+001	3.574013e+000	7.612647e+001
2.140000000000003e+001	3.474166e+000	7.434715e+001
2.150000000000004e+001	3.370802e+000	7.247224e+001
2.160000000000004e+001	3.266460e+000	7.055555e+001
2.170000000000004e+001	3.169052e+000	6.876844e+001
2.180000000000004e+001	3.107289e+000	6.773890e+001
2.190000000000004e+001	3.098205e+000	6.785069e+001
2.200000000000004e+001	3.097919e+000	6.815421e+001
2.210000000000004e+001	3.097876e+000	6.846306e+001
2.220000000000005e+001	3.097838e+000	6.877200e+001
2.230000000000005e+001	3.097800e+000	6.908094e+001
2.240000000000005e+001	3.097762e+000	6.938988e+001
2.250000000000005e+001	3.097724e+000	6.969880e+001
2.260000000000005e+001	3.097687e+000	7.000772e+001
2.270000000000005e+001	3.097649e+000	7.031663e+001
2.280000000000005e+001	3.097611e+000	7.062554e+001
2.290000000000006e+001	3.097574e+000	7.093443e+001
2.300000000000006e+001	3.097536e+000	7.124332e+001
2.310000000000006e+001	3.097498e+000	7.155220e+001
2.320000000000006e+001	3.097460e+000	7.186107e+001
2.330000000000006e+001	3.097422e+000	7.216994e+001
2.340000000000006e+001	3.097384e+000	7.247880e+001
2.350000000000006e+001	3.097347e+000	7.278765e+001
2.360000000000007e+001	3.097309e+000	7.309649e+001
2.370000000000007e+001	3.097271e+000	7.340533e+001
2.380000000000007e+001	3.097233e+000	7.371415e+001
2.390000000000007e+001	3.097196e+000	7.402298e+001
2.400000000000007e+001	3.097158e+000	7.433179e+001
2.410000000000007e+001	3.097120e+000	7.464059e+001
2.420000000000007e+001	3.097082e+000	7.494939e+001
2.430000000000008e+001	3.097044e+000	7.525818e+001
2.440000000000008e+001	3.097007e+000	7.556696e+001
2.450000000000008e+001	3.096969e+000	7.587573e+001
2.460000000000008e+001	3.096931e+000	7.618450e+001
2.470000000000008e+001	3.096893e+000	7.649326e+001
2.480000000000008e+001	3.096855e+000	7.680201e+001
2.490000000000008e+001	3.096817e+000	7.711076e+001
2.500000000000009e+001	3.096780e+000	7.741950e+001
2.510000000000009e+001	3.096742e+000	7.772822e+001
2.520000000000009e+001	3.096704e+000	7.803694e+001
2.530000000000009e+001	3.096666e+000	7.834566e+001
2.540000000000009e+001	3.096628e+000	7.865436e+001
2.550000000000009e+001	3.096591e+000	7.896306e+001
2.560000000000009e+001	3.096553e+000	7.927175e+001
2.570000000000010e+001	3.096515e+000	7.958043e+001
2.580000000000010e+001	3.096477e+000	7.988911e+001
2.590000000000010e+001	3.096439e+000	8.019777e+001
2.600000000000010e+001	3.096401e+000	8.050643e+001
2.610000000000010e+001	3.096364e+000	8.081509e+001
2.620000000000010e+001	3.096326e+000	8.112373e+001
2.630000000000010e+001	3.096288e+000	8.143237e+001
2.640000000000011e+001	3.096250e+000	8.174100e+001
2.650000000000011e+001	3.096212e+000	8.204962e+001
2.660000000000011e+001	3.096174e+000	8.235823e+001
2.670000000000011e+001	3.096136e+000	8.266683e+001
2.680000000000011e+001	3.096098e+000	8.297543e+001
2.690000000000011e+001	3.096060e+000	8.328402e+001
2.700000000000011e+001	3.096022e+000	8.359260e+001
2.710000000000012e+001	3.095984e+000	8.390117e+001
2.720000000000012e+001	3.095946e+000	8.420974e+001
2.730000000000012e+001	3.095908e+000	8.451830e+001
2.740000000000012e+001	3.095870e+000	8.482685e+001
2.750000000000012e+001	3.095832e+000	8.513539e+001
2.760000000000012e+001	3.095794e+000	8.544392e+001
2.770000000000012e+001	3.095756e+000	8.575244e+001
2.780000000000013e+001	3.095718e+000	8.606096e+001
2.790000000000013e+001	3.095680e+000	8.636947e+001
2.800000000000013e+001	3.095642e+000	8.667797e+001
2.810000000000013e+001	3.095603e+000	8.698646e+001
2.820000000000013e+001	3.095565e+000	8.729494e+001
2.830000000000013e+001	3.095527e+000	8.760342e+001
2.840000000000013e+001	3.095489e+000	8.791188e+001
2.850000000000014e+001	3.095450e+000	8.822034e+001
2.860000000000014e+001	3.095412e+000	8.852879e+001
2.870000000000014e+001	3.095374e+000	8.883723e+001
2.880000000000014e+001	3.095335e+000	8.914566e+001
2.890000000000014e+001	3.095297e+000	8.945408e+001
2.900000000000014e+001	3.095258e+000	8.976249e+001
2.910000000000014e+001	3.095220e+000	9.007089e+001
2.920000000000015e+001	3.095181e+000	9.037928e+001
