v1	I(V1)	I(V1)*V1
1.760000000000000e+002	-2.802513e-002	-4.932422e+000
1.770000000000000e+002	-2.893276e-002	-5.121098e+000
1.780000000000000e+002	-2.995042e-002	-5.331175e+000
1.790000000000000e+002	-3.110254e-002	-5.567354e+000
1.800000000000000e+002	-3.241904e-002	-5.835428e+000
1.810000000000000e+002	-3.393668e-002	-6.142539e+000
1.820000000000000e+002	-3.570055e-002	-6.497500e+000
1.830000000000000e+002	-3.776604e-002	-6.911185e+000
1.840000000000000e+002	-4.020118e-002	-7.397017e+000
1.850000000000000e+002	-4.308951e-002	-7.971560e+000
1.860000000000000e+002	-4.653360e-002	-8.655250e+000
1.870000000000000e+002	-5.065927e-002	-9.473284e+000
1.880000000000000e+002	-5.562073e-002	-1.045670e+001
1.890000000000000e+002	-6.160666e-002	-1.164366e+001
1.900000000000000e+002	-6.884740e-002	-1.308101e+001
1.910000000000000e+002	-7.762329e-002	-1.482605e+001
1.920000000000000e+002	-8.827422e-002	-1.694865e+001
1.930000000000000e+002	-1.012102e-001	-1.953357e+001
1.940000000000000e+002	-1.169228e-001	-2.268303e+001
1.950000000000000e+002	-1.359970e-001	-2.651942e+001
1.960000000000000e+002	-1.591229e-001	-3.118808e+001
1.970000000000000e+002	-1.871062e-001	-3.685993e+001
1.980000000000000e+002	-2.208784e-001	-4.373392e+001
1.990000000000000e+002	-2.615035e-001	-5.203919e+001
2.000000000000000e+002	-3.101850e-001	-6.203699e+001
