v1	I(V2)
7.500000000000004e-001	3.589766e+000
7.600000000000005e-001	3.583255e+000
7.700000000000005e-001	3.576705e+000
7.800000000000005e-001	3.570117e+000
7.900000000000005e-001	3.563493e+000
8.000000000000005e-001	3.556834e+000
8.100000000000005e-001	3.550141e+000
8.200000000000005e-001	3.543414e+000
8.300000000000005e-001	3.536656e+000
8.400000000000005e-001	3.529868e+000
8.500000000000005e-001	3.523051e+000
8.600000000000005e-001	3.516206e+000
8.700000000000006e-001	3.509335e+000
8.800000000000006e-001	3.502438e+000
8.900000000000006e-001	3.495518e+000
9.000000000000006e-001	3.488575e+000
9.100000000000006e-001	3.481612e+000
9.200000000000006e-001	3.474629e+000
9.300000000000006e-001	3.467628e+000
9.400000000000006e-001	3.460611e+000
9.500000000000006e-001	3.453579e+000
9.600000000000006e-001	3.446533e+000
9.700000000000006e-001	3.439475e+000
9.800000000000007e-001	3.432407e+000
9.900000000000007e-001	3.425331e+000
1.000000000000001e+000	3.418247e+000
1.010000000000001e+000	3.411158e+000
1.020000000000001e+000	3.404065e+000
1.030000000000001e+000	3.396970e+000
1.040000000000001e+000	3.389875e+000
1.050000000000001e+000	3.382782e+000
1.060000000000001e+000	3.375692e+000
1.070000000000001e+000	3.368607e+000
1.080000000000001e+000	3.361530e+000
1.090000000000001e+000	3.354461e+000
1.100000000000001e+000	3.347403e+000
1.110000000000001e+000	3.340359e+000
1.120000000000001e+000	3.333329e+000
1.130000000000001e+000	3.326317e+000
1.140000000000001e+000	3.319323e+000
1.150000000000001e+000	3.312351e+000
1.160000000000001e+000	3.305403e+000
1.170000000000001e+000	3.298480e+000
1.180000000000001e+000	3.291584e+000
1.190000000000001e+000	3.284720e+000
1.200000000000001e+000	3.277888e+000
1.210000000000001e+000	3.271090e+000
1.220000000000001e+000	3.264330e+000
1.230000000000001e+000	3.257610e+000
1.240000000000001e+000	3.250933e+000
1.250000000000001e+000	3.244300e+000
1.260000000000001e+000	3.237714e+000
1.270000000000001e+000	3.231179e+000
1.280000000000001e+000	3.224696e+000
1.290000000000001e+000	3.218269e+000
1.300000000000001e+000	3.211900e+000
1.310000000000001e+000	3.205592e+000
1.320000000000001e+000	3.199348e+000
1.330000000000001e+000	3.193170e+000
1.340000000000001e+000	3.187062e+000
1.350000000000001e+000	3.181026e+000
1.360000000000001e+000	3.175065e+000
1.370000000000001e+000	3.169182e+000
1.380000000000001e+000	3.163380e+000
1.390000000000001e+000	3.157661e+000
1.400000000000001e+000	3.152030e+000
1.410000000000001e+000	3.146487e+000
1.420000000000001e+000	3.141037e+000
1.430000000000001e+000	3.135682e+000
1.440000000000001e+000	3.130425e+000
1.450000000000001e+000	3.125268e+000
1.460000000000001e+000	3.120214e+000
1.470000000000001e+000	3.115266e+000
1.480000000000001e+000	3.110425e+000
1.490000000000001e+000	3.105695e+000
1.500000000000001e+000	3.101077e+000
1.510000000000001e+000	3.096574e+000
1.520000000000001e+000	3.092186e+000
1.530000000000001e+000	3.087917e+000
1.540000000000001e+000	3.083767e+000
1.550000000000001e+000	3.079738e+000
1.560000000000001e+000	3.075830e+000
1.570000000000001e+000	3.072045e+000
1.580000000000001e+000	3.068383e+000
1.590000000000001e+000	3.064845e+000
1.600000000000001e+000	3.061430e+000
1.610000000000001e+000	3.058139e+000
1.620000000000001e+000	3.054971e+000
1.630000000000001e+000	3.051926e+000
1.640000000000001e+000	3.049002e+000
1.650000000000001e+000	3.046198e+000
1.660000000000001e+000	3.043514e+000
1.670000000000001e+000	3.040946e+000
1.680000000000001e+000	3.038494e+000
1.690000000000001e+000	3.036154e+000
1.700000000000001e+000	3.033926e+000
1.710000000000001e+000	3.031805e+000
1.720000000000001e+000	3.029790e+000
1.730000000000001e+000	3.027878e+000
1.740000000000001e+000	3.026064e+000
1.750000000000001e+000	3.024347e+000
1.760000000000001e+000	3.022723e+000
1.770000000000001e+000	3.021188e+000
1.780000000000001e+000	3.019740e+000
1.790000000000001e+000	3.018375e+000
1.800000000000001e+000	3.017089e+000
1.810000000000001e+000	3.015878e+000
1.820000000000001e+000	3.014741e+000
1.830000000000001e+000	3.013672e+000
1.840000000000001e+000	3.012669e+000
1.850000000000001e+000	3.011729e+000
1.860000000000001e+000	3.010847e+000
1.870000000000001e+000	3.010022e+000
1.880000000000001e+000	3.009250e+000
1.890000000000002e+000	3.008528e+000
1.900000000000002e+000	3.007854e+000
1.910000000000002e+000	3.007224e+000
1.920000000000002e+000	3.006636e+000
1.930000000000002e+000	3.006087e+000
1.940000000000002e+000	3.005576e+000
1.950000000000002e+000	3.005099e+000
1.960000000000002e+000	3.004655e+000
1.970000000000002e+000	3.004241e+000
1.980000000000002e+000	3.003856e+000
1.990000000000002e+000	3.003497e+000
2.000000000000001e+000	3.003164e+000
2.010000000000001e+000	3.002854e+000
2.020000000000001e+000	3.002565e+000
2.030000000000001e+000	3.002297e+000
2.040000000000001e+000	3.002048e+000
2.050000000000000e+000	3.001816e+000
2.060000000000000e+000	3.001601e+000
2.070000000000000e+000	3.001401e+000
2.080000000000000e+000	3.001215e+000
2.089999999999999e+000	3.001043e+000
2.099999999999999e+000	3.000883e+000
2.109999999999999e+000	3.000734e+000
2.119999999999999e+000	3.000596e+000
2.129999999999999e+000	3.000468e+000
2.139999999999998e+000	3.000348e+000
2.149999999999998e+000	3.000237e+000
2.159999999999998e+000	3.000135e+000
2.169999999999998e+000	3.000039e+000
2.179999999999998e+000	2.999950e+000
2.189999999999997e+000	2.999868e+000
2.199999999999997e+000	2.999791e+000
2.209999999999997e+000	2.999720e+000
2.219999999999997e+000	2.999654e+000
2.229999999999996e+000	2.999592e+000
