v1	I(V2)	Ix(x2:VF0)
1.530000000000001e+000	3.518670e+000	3.518670e+000
1.540000000000001e+000	3.515020e+000	3.515020e+000
1.550000000000001e+000	3.511361e+000	3.511361e+000
1.560000000000001e+000	3.507691e+000	3.507691e+000
1.570000000000001e+000	3.504012e+000	3.504012e+000
1.580000000000001e+000	3.500323e+000	3.500323e+000
1.590000000000001e+000	3.496625e+000	3.496625e+000
1.600000000000001e+000	3.492918e+000	3.492918e+000
1.610000000000001e+000	3.489201e+000	3.489201e+000
1.620000000000001e+000	3.485475e+000	3.485475e+000
1.630000000000001e+000	3.481740e+000	3.481740e+000
1.640000000000001e+000	3.477997e+000	3.477997e+000
1.650000000000001e+000	3.474246e+000	3.474246e+000
1.660000000000001e+000	3.470486e+000	3.470486e+000
1.670000000000001e+000	3.466717e+000	3.466717e+000
1.680000000000001e+000	3.462941e+000	3.462941e+000
1.690000000000001e+000	3.459157e+000	3.459157e+000
1.700000000000001e+000	3.455366e+000	3.455366e+000
1.710000000000001e+000	3.451567e+000	3.451567e+000
1.720000000000001e+000	3.447760e+000	3.447760e+000
1.730000000000001e+000	3.443947e+000	3.443947e+000
1.740000000000001e+000	3.440126e+000	3.440126e+000
1.750000000000001e+000	3.436299e+000	3.436299e+000
1.760000000000001e+000	3.432465e+000	3.432465e+000
1.770000000000001e+000	3.428625e+000	3.428625e+000
1.780000000000001e+000	3.424779e+000	3.424779e+000
1.790000000000001e+000	3.420927e+000	3.420927e+000
1.800000000000001e+000	3.417068e+000	3.417068e+000
1.810000000000001e+000	3.413204e+000	3.413204e+000
1.820000000000001e+000	3.409335e+000	3.409335e+000
1.830000000000001e+000	3.405461e+000	3.405461e+000
1.840000000000001e+000	3.401582e+000	3.401582e+000
1.850000000000001e+000	3.397697e+000	3.397697e+000
1.860000000000001e+000	3.393809e+000	3.393809e+000
1.870000000000001e+000	3.389915e+000	3.389915e+000
1.880000000000001e+000	3.386018e+000	3.386018e+000
1.890000000000002e+000	3.382117e+000	3.382117e+000
1.900000000000002e+000	3.378212e+000	3.378212e+000
1.910000000000002e+000	3.374303e+000	3.374303e+000
1.920000000000002e+000	3.370391e+000	3.370391e+000
1.930000000000002e+000	3.366477e+000	3.366477e+000
1.940000000000002e+000	3.362559e+000	3.362559e+000
1.950000000000002e+000	3.358639e+000	3.358639e+000
1.960000000000002e+000	3.354716e+000	3.354716e+000
1.970000000000002e+000	3.350792e+000	3.350792e+000
1.980000000000002e+000	3.346865e+000	3.346865e+000
1.990000000000002e+000	3.342937e+000	3.342937e+000
2.000000000000001e+000	3.339008e+000	3.339008e+000
2.010000000000001e+000	3.335077e+000	3.335077e+000
2.020000000000001e+000	3.331146e+000	3.331146e+000
2.030000000000001e+000	3.327214e+000	3.327214e+000
2.040000000000001e+000	3.323282e+000	3.323282e+000
2.050000000000000e+000	3.319350e+000	3.319350e+000
2.060000000000000e+000	3.315418e+000	3.315418e+000
2.070000000000000e+000	3.311487e+000	3.311487e+000
2.080000000000000e+000	3.307557e+000	3.307557e+000
2.089999999999999e+000	3.303628e+000	3.303628e+000
2.099999999999999e+000	3.299701e+000	3.299701e+000
2.109999999999999e+000	3.295775e+000	3.295775e+000
2.119999999999999e+000	3.291852e+000	3.291852e+000
2.129999999999999e+000	3.287930e+000	3.287930e+000
2.139999999999998e+000	3.284012e+000	3.284012e+000
2.149999999999998e+000	3.280097e+000	3.280097e+000
2.159999999999998e+000	3.276185e+000	3.276185e+000
2.169999999999998e+000	3.272277e+000	3.272277e+000
2.179999999999998e+000	3.268373e+000	3.268373e+000
2.189999999999997e+000	3.264474e+000	3.264474e+000
2.199999999999997e+000	3.260579e+000	3.260579e+000
2.209999999999997e+000	3.256690e+000	3.256690e+000
2.219999999999997e+000	3.252807e+000	3.252807e+000
2.229999999999996e+000	3.248930e+000	3.248930e+000
2.239999999999996e+000	3.245059e+000	3.245059e+000
2.249999999999996e+000	3.241194e+000	3.241194e+000
2.259999999999996e+000	3.237338e+000	3.237338e+000
2.269999999999996e+000	3.233489e+000	3.233489e+000
2.279999999999995e+000	3.229648e+000	3.229648e+000
2.289999999999995e+000	3.225816e+000	3.225816e+000
2.299999999999995e+000	3.221993e+000	3.221993e+000
2.309999999999995e+000	3.218180e+000	3.218180e+000
2.319999999999995e+000	3.214377e+000	3.214377e+000
2.329999999999994e+000	3.210584e+000	3.210584e+000
2.339999999999994e+000	3.206802e+000	3.206802e+000
2.349999999999994e+000	3.203032e+000	3.203032e+000
2.359999999999994e+000	3.199275e+000	3.199275e+000
2.369999999999993e+000	3.195530e+000	3.195530e+000
2.379999999999993e+000	3.191798e+000	3.191798e+000
2.389999999999993e+000	3.188080e+000	3.188080e+000
2.399999999999993e+000	3.184376e+000	3.184376e+000
2.409999999999993e+000	3.180688e+000	3.180688e+000
2.419999999999992e+000	3.177016e+000	3.177016e+000
2.429999999999992e+000	3.173359e+000	3.173359e+000
2.439999999999992e+000	3.169720e+000	3.169720e+000
2.449999999999992e+000	3.166098e+000	3.166098e+000
2.459999999999992e+000	3.162495e+000	3.162495e+000
2.469999999999991e+000	3.158911e+000	3.158911e+000
