v1	I(V2)
2.689999999999987e+000	2.005816e+000
2.699999999999986e+000	2.005325e+000
2.709999999999986e+000	2.004868e+000
2.719999999999986e+000	2.004443e+000
2.729999999999986e+000	2.004047e+000
2.739999999999986e+000	2.003679e+000
2.749999999999985e+000	2.003337e+000
2.759999999999985e+000	2.003019e+000
2.769999999999985e+000	2.002723e+000
2.779999999999985e+000	2.002449e+000
2.789999999999985e+000	2.002194e+000
2.799999999999984e+000	2.001957e+000
2.809999999999984e+000	2.001737e+000
2.819999999999984e+000	2.001533e+000
2.829999999999984e+000	2.001343e+000
2.839999999999983e+000	2.001167e+000
2.849999999999983e+000	2.001004e+000
2.859999999999983e+000	2.000853e+000
2.869999999999983e+000	2.000712e+000
2.879999999999983e+000	2.000581e+000
2.889999999999982e+000	2.000460e+000
2.899999999999982e+000	2.000348e+000
2.909999999999982e+000	2.000244e+000
2.919999999999982e+000	2.000147e+000
2.929999999999982e+000	2.000057e+000
2.939999999999981e+000	1.999974e+000
2.949999999999981e+000	1.999897e+000
2.959999999999981e+000	1.999825e+000
2.969999999999981e+000	1.999758e+000
2.979999999999980e+000	1.999697e+000
2.989999999999980e+000	1.999639e+000
2.999999999999980e+000	1.999586e+000
3.009999999999980e+000	1.999536e+000
3.019999999999980e+000	1.999490e+000
3.029999999999979e+000	1.999448e+000
3.039999999999979e+000	1.999408e+000
3.049999999999979e+000	1.999371e+000
3.059999999999979e+000	1.999337e+000
3.069999999999979e+000	1.999305e+000
3.079999999999978e+000	1.999275e+000
3.089999999999978e+000	1.999247e+000
3.099999999999978e+000	1.999221e+000
3.109999999999978e+000	1.999197e+000
3.119999999999978e+000	1.999175e+000
3.129999999999977e+000	1.999154e+000
3.139999999999977e+000	1.999135e+000
3.149999999999977e+000	1.999116e+000
3.159999999999977e+000	1.999099e+000
3.169999999999976e+000	1.999083e+000
3.179999999999976e+000	1.999068e+000
3.189999999999976e+000	1.999054e+000
3.199999999999976e+000	1.999041e+000
3.209999999999976e+000	1.999028e+000
3.219999999999975e+000	1.999017e+000
3.229999999999975e+000	1.999006e+000
3.239999999999975e+000	1.998995e+000
3.249999999999975e+000	1.998986e+000
3.259999999999975e+000	1.998976e+000
3.269999999999974e+000	1.998967e+000
3.279999999999974e+000	1.998959e+000
3.289999999999974e+000	1.998951e+000
3.299999999999974e+000	1.998943e+000
3.309999999999973e+000	1.998936e+000
3.319999999999973e+000	1.998929e+000
3.329999999999973e+000	1.998922e+000
3.339999999999973e+000	1.998916e+000
3.349999999999973e+000	1.998910e+000
3.359999999999972e+000	1.998904e+000
3.369999999999972e+000	1.998898e+000
3.379999999999972e+000	1.998892e+000
3.389999999999972e+000	1.998887e+000
3.399999999999972e+000	1.998881e+000
3.409999999999971e+000	1.998876e+000
3.419999999999971e+000	1.998871e+000
3.429999999999971e+000	1.998866e+000
3.439999999999971e+000	1.998861e+000
3.449999999999970e+000	1.998856e+000
3.459999999999970e+000	1.998851e+000
3.469999999999970e+000	1.998846e+000
3.479999999999970e+000	1.998842e+000
3.489999999999970e+000	1.998837e+000
3.499999999999969e+000	1.998832e+000
3.509999999999969e+000	1.998827e+000
3.519999999999969e+000	1.998822e+000
3.529999999999969e+000	1.998818e+000
3.539999999999969e+000	1.998813e+000
3.549999999999968e+000	1.998808e+000
3.559999999999968e+000	1.998803e+000
3.569999999999968e+000	1.998798e+000
3.579999999999968e+000	1.998793e+000
3.589999999999967e+000	1.998788e+000
3.599999999999967e+000	1.998783e+000
3.609999999999967e+000	1.998778e+000
3.619999999999967e+000	1.998773e+000
3.629999999999967e+000	1.998767e+000
3.639999999999966e+000	1.998762e+000
3.649999999999966e+000	1.998756e+000
3.659999999999966e+000	1.998751e+000
3.669999999999966e+000	1.998745e+000
3.679999999999966e+000	1.998739e+000
3.689999999999965e+000	1.998733e+000
3.699999999999965e+000	1.998727e+000
3.709999999999965e+000	1.998721e+000
3.719999999999965e+000	1.998714e+000
3.729999999999965e+000	1.998708e+000
3.739999999999964e+000	1.998701e+000
3.749999999999964e+000	1.998694e+000
3.759999999999964e+000	1.998687e+000
3.769999999999964e+000	1.998680e+000
3.779999999999963e+000	1.998672e+000
3.789999999999963e+000	1.998665e+000
3.799999999999963e+000	1.998657e+000
3.809999999999963e+000	1.998649e+000
3.819999999999963e+000	1.998641e+000
3.829999999999962e+000	1.998633e+000
3.839999999999962e+000	1.998624e+000
3.849999999999962e+000	1.998615e+000
3.859999999999962e+000	1.998606e+000
3.869999999999962e+000	1.998597e+000
3.879999999999961e+000	1.998587e+000
3.889999999999961e+000	1.998577e+000
3.899999999999961e+000	1.998567e+000
3.909999999999961e+000	1.998557e+000
3.919999999999960e+000	1.998546e+000
3.929999999999960e+000	1.998535e+000
3.939999999999960e+000	1.998524e+000
3.949999999999960e+000	1.998512e+000
3.959999999999960e+000	1.998500e+000
3.969999999999959e+000	1.998488e+000
3.979999999999959e+000	1.998475e+000
3.989999999999959e+000	1.998462e+000
3.999999999999959e+000	1.998449e+000
4.009999999999959e+000	1.998435e+000
4.019999999999959e+000	1.998421e+000
4.029999999999959e+000	1.998406e+000
4.039999999999958e+000	1.998391e+000
4.049999999999958e+000	1.998375e+000
4.059999999999958e+000	1.998359e+000
4.069999999999958e+000	1.998343e+000
4.079999999999957e+000	1.998326e+000
4.089999999999957e+000	1.998308e+000
4.099999999999957e+000	1.998290e+000
4.109999999999957e+000	1.998272e+000
4.119999999999957e+000	1.998252e+000
4.129999999999956e+000	1.998233e+000
4.139999999999956e+000	1.998212e+000
4.149999999999956e+000	1.998191e+000
4.159999999999956e+000	1.998170e+000
4.169999999999956e+000	1.998148e+000
4.179999999999955e+000	1.998125e+000
4.189999999999955e+000	1.998101e+000
4.199999999999955e+000	1.998077e+000
4.209999999999955e+000	1.998052e+000
4.219999999999955e+000	1.998026e+000
4.229999999999954e+000	1.997999e+000
4.239999999999954e+000	1.997971e+000
4.249999999999954e+000	1.997943e+000
4.259999999999954e+000	1.997914e+000
4.269999999999953e+000	1.997884e+000
4.279999999999953e+000	1.997852e+000
4.289999999999953e+000	1.997820e+000
4.299999999999953e+000	1.997787e+000
4.309999999999953e+000	1.997753e+000
4.319999999999952e+000	1.997718e+000
4.329999999999952e+000	1.997682e+000
4.339999999999952e+000	1.997644e+000
4.349999999999952e+000	1.997606e+000
4.359999999999952e+000	1.997566e+000
4.369999999999951e+000	1.997525e+000
4.379999999999951e+000	1.997482e+000
4.389999999999951e+000	1.997439e+000
4.399999999999951e+000	1.997394e+000
4.409999999999950e+000	1.997347e+000
4.419999999999950e+000	1.997299e+000
4.429999999999950e+000	1.997250e+000
4.439999999999950e+000	1.997199e+000
4.449999999999950e+000	1.997146e+000
4.459999999999949e+000	1.997092e+000
4.469999999999949e+000	1.997036e+000
4.479999999999949e+000	1.996978e+000
4.489999999999949e+000	1.996919e+000
4.499999999999949e+000	1.996857e+000
4.509999999999948e+000	1.996794e+000
4.519999999999948e+000	1.996729e+000
4.529999999999948e+000	1.996661e+000
4.539999999999948e+000	1.996591e+000
4.549999999999947e+000	1.996520e+000
4.559999999999947e+000	1.996446e+000
4.569999999999947e+000	1.996369e+000
4.579999999999947e+000	1.996290e+000
4.589999999999947e+000	1.996209e+000
4.599999999999946e+000	1.996125e+000
4.609999999999946e+000	1.996039e+000
4.619999999999946e+000	1.995950e+000
4.629999999999946e+000	1.995857e+000
4.639999999999946e+000	1.995763e+000
4.649999999999945e+000	1.995665e+000
4.659999999999945e+000	1.995564e+000
4.669999999999945e+000	1.995459e+000
4.679999999999945e+000	1.995352e+000
4.689999999999944e+000	1.995241e+000
4.699999999999944e+000	1.995127e+000
4.709999999999944e+000	1.995009e+000
4.719999999999944e+000	1.994887e+000
4.729999999999944e+000	1.994762e+000
4.739999999999943e+000	1.994632e+000
4.749999999999943e+000	1.994499e+000
4.759999999999943e+000	1.994361e+000
4.769999999999943e+000	1.994219e+000
4.779999999999943e+000	1.994073e+000
4.789999999999942e+000	1.993922e+000
4.799999999999942e+000	1.993766e+000
4.809999999999942e+000	1.993605e+000
4.819999999999942e+000	1.993440e+000
4.829999999999942e+000	1.993269e+000
4.839999999999941e+000	1.993093e+000
4.849999999999941e+000	1.992912e+000
4.859999999999941e+000	1.992725e+000
4.869999999999941e+000	1.992532e+000
4.879999999999940e+000	1.992333e+000
4.889999999999940e+000	1.992128e+000
4.899999999999940e+000	1.991916e+000
4.909999999999940e+000	1.991699e+000
4.919999999999940e+000	1.991474e+000
4.929999999999939e+000	1.991243e+000
4.939999999999939e+000	1.991004e+000
4.949999999999939e+000	1.990758e+000
4.959999999999939e+000	1.990505e+000
4.969999999999939e+000	1.990244e+000
4.979999999999938e+000	1.989975e+000
4.989999999999938e+000	1.989698e+000
4.999999999999938e+000	1.989412e+000
5.009999999999938e+000	1.989118e+000
5.019999999999937e+000	1.988815e+000
5.029999999999937e+000	1.988503e+000
5.039999999999937e+000	1.988181e+000
5.049999999999937e+000	1.987850e+000
5.059999999999937e+000	1.987509e+000
5.069999999999936e+000	1.987157e+000
5.079999999999936e+000	1.986795e+000
5.089999999999936e+000	1.986423e+000
5.099999999999936e+000	1.986040e+000
5.109999999999936e+000	1.985645e+000
5.119999999999935e+000	1.985238e+000
